row_index,order_id,defect_type,category,effective,description
2267,12268,duplicate_transaction_id,A_covered,True,transaction_id copied from row 3206
4417,14418,duplicate_transaction_id,A_covered,True,transaction_id copied from row 149
1049,11050,duplicate_transaction_id,A_covered,True,transaction_id copied from row 2650
867,10868,duplicate_transaction_id,A_covered,True,transaction_id copied from row 207
3047,13048,duplicate_transaction_id,A_covered,True,transaction_id copied from row 4155
862,10863,duplicate_transaction_id,A_covered,True,transaction_id copied from row 4117
4707,14708,duplicate_transaction_id,A_covered,True,transaction_id copied from row 994
4260,14261,duplicate_transaction_id,A_covered,True,transaction_id copied from row 4993
1632,11633,duplicate_transaction_id,A_covered,True,transaction_id copied from row 3224
4873,14874,duplicate_transaction_id,A_covered,True,transaction_id copied from row 4744
3083,13084,duplicate_transaction_id,A_covered,True,transaction_id copied from row 576
4955,14956,duplicate_transaction_id,A_covered,True,transaction_id copied from row 3876
4998,14999,duplicate_transaction_id,A_covered,True,transaction_id copied from row 4622
1459,11460,duplicate_transaction_id,A_covered,True,transaction_id copied from row 3355
3051,13052,duplicate_transaction_id,A_covered,True,transaction_id copied from row 3985
2719,12720,null_price,A_covered,True,Price set to empty string (will parse as NaN)
428,10429,null_price,A_covered,True,Price set to empty string (will parse as NaN)
4853,14854,null_price,A_covered,True,Price set to empty string (will parse as NaN)
139,10140,null_price,A_covered,True,Price set to empty string (will parse as NaN)
480,10481,null_price,A_covered,True,Price set to empty string (will parse as NaN)
1222,11223,null_price,A_covered,True,Price set to empty string (will parse as NaN)
2066,12067,null_price,A_covered,True,Price set to empty string (will parse as NaN)
3352,13353,null_price,A_covered,True,Price set to empty string (will parse as NaN)
4208,14209,null_price,A_covered,True,Price set to empty string (will parse as NaN)
4603,14604,null_price,A_covered,True,Price set to empty string (will parse as NaN)
866,10867,null_price,A_covered,True,Price set to empty string (will parse as NaN)
4241,14242,null_price,A_covered,True,Price set to empty string (will parse as NaN)
736,10737,null_price,A_covered,True,Price set to empty string (will parse as NaN)
2195,12196,null_price,A_covered,True,Price set to empty string (will parse as NaN)
4250,14251,null_price,A_covered,True,Price set to empty string (will parse as NaN)
264,10265,null_price,A_covered,True,Price set to empty string (will parse as NaN)
800,10801,null_price,A_covered,True,Price set to empty string (will parse as NaN)
3075,13076,null_price,A_covered,True,Price set to empty string (will parse as NaN)
4137,14138,null_price,A_covered,True,Price set to empty string (will parse as NaN)
3937,13938,null_price,A_covered,True,Price set to empty string (will parse as NaN)
1790,11791,zero_price,A_covered,True,Price set to exactly 0
360,10361,zero_price,A_covered,True,Price set to exactly 0
860,10861,zero_price,A_covered,True,Price set to exactly 0
4420,14421,zero_price,A_covered,True,Price set to exactly 0
2933,12934,zero_price,A_covered,True,Price set to exactly 0
4314,14315,zero_price,A_covered,True,Price set to exactly 0
4948,14949,zero_price,A_covered,True,Price set to exactly 0
3002,13003,zero_price,A_covered,True,Price set to exactly 0
